Date,Prime Rate,Target for the Overnight Rate
01-10-2023,7.20%,5.00%
01-09-2023,7.20%,5.00%
01-07-2023,7.20%,5.00%
01-06-2023,6.95%,4.75%
01-04-2023,6.70%,4.50%
01-03-2023,6.70%,4.50%
01-01-2023,6.70%,4.50%
01-12-2022,6.45%,4.25%
01-10-2022,5.95%,3.75%
01-09-2022,5.45%,3.25%
01-07-2022,4.70%,2.50%
01-06-2022,3.70%,1.50%
01-04-2022,2.70%,1.00%
01-03-2020,2.45%,0.25%
01-03-2020,2.95%,0.75%
01-03-2020,3.45%,1.25%
01-10-2018,3.95%,1.50%
01-07-2018,3.70%,1.50%
01-01-2018,3.45%,1.25%
01-09-2017,3.20%,1.00%
01-07-2017,2.95%,0.75%
01-07-2015,2.70%,0.50%
01-01-2015,2.85%,0.75%
01-09-2010,3.00%,1.00%
01-07-2010,2.75%,0.75%
01-06-2010,2.50%,0.50%
01-04-2009,2.25%,0.25%
01-03-2009,2.50%,0.50%
01-01-2009,3.00%,1.00%
01-12-2008,3.50%,1.50%
01-10-2008,4.00%,2.25%
01-10-2008,4.50%,2.50%
01-04-2008,4.75%,3.00%
01-03-2008,5.25%,3.50%
01-01-2008,5.75%,4.00%
01-12-2007,6.00%,4.25%
